STATENAME;All persons;Under 65 years;Under 18 years;65 years and over
Alabama;84,6;82,3;91,1;98,5
Alaska;85,2;82,9;91,8;99,8
Arizona;81;79,3;83,5;96,5
Arkansas;82;79,3;86,3;97,3
California;81,6;78,6;91,7;98
Colorado;82,1;80;90,4;97,9
Connecticut;86,3;84,6;94,5;98,7
Delaware;91,9;90,8;96,4;98,6
District of Columbia;89,2;87,3;90;98,8
Florida;92,1;91,2;97,9;99,1
Georgia;78,5;74,4;86,9;97,9
Hawaii;80,8;78,3;87,2;99
Idaho;92,3;90,9;96,4;99,7
Illinois;84,1;81,3;90,5;99,4
Indiana;86,4;84,5;93,1;98,2
Iowa;86,6;84,4;90,4;99,5
Kansas;89,9;88,3;94,8;99,5
Kentucky;87,4;85,2;93,9;99,5
Louisiana;84,3;82;90,8;99,4
Maine;81,7;79,2;91,7;97,7
Maryland;90,5;88,8;96,2;99,7
Massachusetts;87,6;85,9;92,5;98,4
Michigan;95,9;95,2;96,2;99,9
Minnesota;89,1;87,3;96,5;99,1
Mississippi;91,7;90,4;93,8;99,9
Missouri;84,7;82,2;91,1;99,4
Montana;86,7;84,4;89,3;99,8
Nebraska;81,9;78,2;88,5;99,2
Nevada;86,7;84,7;90,5;99,3
New Hampshire;76,5;73,1;81,7;98,7
New Jersey;88;86,2;94,4;98,9
New Mexico;86;84;94,4;97,3
New York;78,1;74,5;85;99
North Carolina;88,7;87,1;94,4;98,3
North Dakota;82,8;79,8;91,6;99,2
Ohio;88,5;87,1;94,5;98,8
Oklahoma;87,7;85,6;93,3;99,2
Oregon;82,8;80,2;90,1;99,1
Pennsylvania;84,6;82,3;94,4;98,9
Rhode Island;88;86,2;92,3;98,5
South Carolina;87,7;85,5;93,3;99,5
South Dakota;85,7;83,6;90,4;98,4
Tennessee;85,6;83,3;92,1;99,6
Texas;86,1;83,9;92,7;98,2
Utah;75,4;72,8;84,4;96,8
Vermont;85,6;84,2;91,5;98,3
Virginia;93;91,6;95,4;99,9
Washington;87,5;85,8;94,3;98,7
West Virginia;86,4;84,5;95,1;99,3
Wisconsin;85,4;82,5;91,6;99,6
Wyoming;90,3;88,8;95,1;99,5
;84,6;82,4;90,5;98,3
